Iteracion 1
q, ciclos
2, 28520
Iteracion 2
q, ciclos
2, 23166
Iteracion 3
q, ciclos
2, 22962
Iteracion 4
q, ciclos
2, 22736
Iteracion 5
q, ciclos
2, 22792
Iteracion 6
q, ciclos
2, 28159
Iteracion 7
q, ciclos
2, 29026
Iteracion 8
q, ciclos
2, 28658
Iteracion 9
q, ciclos
2, 50185
Iteracion 10
q, ciclos
2, 28028
Iteracion 1
q, ciclos
4, 2438006
Iteracion 2
q, ciclos
4, 2434994
Iteracion 3
q, ciclos
4, 2429408
Iteracion 4
q, ciclos
4, 2417300
Iteracion 5
q, ciclos
4, 2430162
Iteracion 6
q, ciclos
4, 2432866
Iteracion 7
q, ciclos
4, 2434112
Iteracion 8
q, ciclos
4, 2440072
Iteracion 9
q, ciclos
4, 2428598
Iteracion 10
q, ciclos
4, 2410344
Iteracion 1
q, ciclos
6, 119853827
Iteracion 2
q, ciclos
6, 119383524
Iteracion 3
q, ciclos
6, 119059886
Iteracion 4
q, ciclos
6, 122750566
Iteracion 5
q, ciclos
6, 120382178
Iteracion 6
q, ciclos
6, 121166099
Iteracion 7
q, ciclos
6, 119319627
Iteracion 8
q, ciclos
6, 119688010
Iteracion 9
q, ciclos
6, 119853644
Iteracion 10
q, ciclos
6, 120446915
Iteracion 1
q, ciclos
7, 1184455097
Iteracion 2
q, ciclos
7, 1190350483
Iteracion 3
q, ciclos
7, 1191412849
Iteracion 4
q, ciclos
7, 1185727936
Iteracion 5
q, ciclos
7, 1184835831
Iteracion 6
q, ciclos
7, 1191416318
Iteracion 7
q, ciclos
7, 1191902201
Iteracion 8
q, ciclos
7, 1186685736
Iteracion 9
q, ciclos
7, 1184739491
Iteracion 10
q, ciclos
7, 1187206983
