Iteracion 1
q, ciclos
2, 2404
Iteracion 2
q, ciclos
2, 2422
Iteracion 3
q, ciclos
2, 2582
Iteracion 4
q, ciclos
2, 2423
Iteracion 5
q, ciclos
2, 2778
Iteracion 6
q, ciclos
2, 2773
Iteracion 7
q, ciclos
2, 2760
Iteracion 8
q, ciclos
2, 2588
Iteracion 9
q, ciclos
2, 2428
Iteracion 10
q, ciclos
2, 2395
Iteracion 1
q, ciclos
4, 339231
Iteracion 2
q, ciclos
4, 341225
Iteracion 3
q, ciclos
4, 373018
Iteracion 4
q, ciclos
4, 336815
Iteracion 5
q, ciclos
4, 335527
Iteracion 6
q, ciclos
4, 336726
Iteracion 7
q, ciclos
4, 375810
Iteracion 8
q, ciclos
4, 337367
Iteracion 9
q, ciclos
4, 336379
Iteracion 10
q, ciclos
4, 336266
Iteracion 1
q, ciclos
6, 33516686
Iteracion 2
q, ciclos
6, 34584309
Iteracion 3
q, ciclos
6, 33635312
Iteracion 4
q, ciclos
6, 34627439
Iteracion 5
q, ciclos
6, 34663738
Iteracion 6
q, ciclos
6, 34599498
Iteracion 7
q, ciclos
6, 33470651
Iteracion 8
q, ciclos
6, 33440322
Iteracion 9
q, ciclos
6, 33515388
Iteracion 10
q, ciclos
6, 33597995
Iteracion 1
q, ciclos
7, 334501999
Iteracion 2
q, ciclos
7, 334699060
Iteracion 3
q, ciclos
7, 334608904
Iteracion 4
q, ciclos
7, 333769149
Iteracion 5
q, ciclos
7, 334441019
Iteracion 6
q, ciclos
7, 334999146
Iteracion 7
q, ciclos
7, 333420883
Iteracion 8
q, ciclos
7, 335048728
Iteracion 9
q, ciclos
7, 333114094
Iteracion 10
q, ciclos
7, 333855678
